iter	Logloss
0	0.6034437898
1	0.5363806641
2	0.4862657549
3	0.4485613439
4	0.4220751121
5	0.4007131302
6	0.3832702074
7	0.3713106932
8	0.3602847941
9	0.3520172212
10	0.3449113322
11	0.3400954741
12	0.3353225125
13	0.3309829709
14	0.3281363227
15	0.3254987374
16	0.3230665963
17	0.3210463431
18	0.319464364
19	0.3176962602
20	0.3164936433
21	0.3151177877
22	0.3140183949
23	0.3130071752
24	0.312153053
25	0.3114066453
26	0.3106690062
27	0.3100777641
28	0.3096385424
29	0.3091326128
30	0.3088073326
31	0.308255293
32	0.3077611702
33	0.3073706581
34	0.3069745956
35	0.3066967203
36	0.3064942361
37	0.3063333515
38	0.3061238894
39	0.3059570009
40	0.3057414444
41	0.3055070395
42	0.305361743
43	0.3052479646
44	0.3050744661
45	0.304988066
46	0.3048926489
47	0.3047358856
48	0.3046375058
49	0.3045385889
50	0.3044219609
51	0.3043011247
52	0.3042374596
53	0.3041141738
54	0.3040162048
55	0.3038924127
56	0.3038144491
57	0.3037725546
58	0.3037114979
59	0.3036220364
60	0.3035681647
61	0.3034591749
62	0.3034130844
63	0.3033628604
64	0.3032839644
65	0.3031993971
66	0.3031463155
67	0.303071055
68	0.303016655
69	0.3029767342
70	0.3029358906
71	0.3028674443
72	0.3027919936
73	0.3027374318
74	0.3026954406
75	0.3026550799
76	0.3026105361
77	0.302560418
78	0.3025245955
79	0.3024762599
80	0.3024505762
81	0.3024185205
82	0.3023839366
83	0.3023283857
84	0.3023036046
85	0.3022767199
86	0.3022530594
87	0.3022283566
88	0.3021977518
89	0.3021880159
90	0.3021418319
91	0.3021185547
92	0.302082539
93	0.3020505926
94	0.3020140446
95	0.3019652692
96	0.3019514405
97	0.3019210141
98	0.301893271
99	0.3018638459
100	0.3018424299
101	0.3018108465
102	0.3017920767
103	0.3017628369
104	0.301741232
105	0.3016908744
106	0.3016571111
107	0.301633599
108	0.3016057505
109	0.3015852537
110	0.3015601355
111	0.3015573943
112	0.3015239578
113	0.3014900453
114	0.3014706862
115	0.3014356658
116	0.3014121258
117	0.3013956839
118	0.3013626876
119	0.3013488637
120	0.3013151421
121	0.3012953462
122	0.3012746628
123	0.301242004
124	0.3012254
125	0.3012026842
126	0.3011816897
127	0.3011604455
128	0.3011371981
129	0.3011104716
130	0.3010933081
131	0.301089532
132	0.3010783431
133	0.3010559389
134	0.3010411451
135	0.3010169973
136	0.3009996723
137	0.3009848537
138	0.30096821
139	0.3009464088
